ra,dec
54.72979,-35.23656
54.73819,-35.47628
54.74396,-35.44056
54.75329,-36.26314
54.76262,-30.82289
54.76579,-34.84911
54.76637,-35.08187
54.77137,-35.38711
54.77408,-36.09867
54.80542,-35.37144
54.81392,-35.59297
54.82362,-35.42506
54.83537,-35.32067
54.84708,-31.32142
54.86408,-35.48905
54.88674,-31.79235
54.89492,-35.89561
54.89958,-35.4735
54.90483,-35.25608
54.9315,-35.44986
54.95869,-35.52285
54.96001,-35.02137
54.96421,-35.32192
54.96892,-35.07339
54.97948,-33.05306
54.98083,-35.66194
54.98517,-35.62245
55.00527,-34.75852
55.01417,-35.49556
55.01958,-34.16778
55.03124,-32.31934
55.03875,-35.62444
55.04124,-35.61292
55.04199,-34.44641
55.06529,-35.66273
55.07917,-33.42167
55.08288,-35.25833
55.08557,-37.64473
55.09808,-35.27681
55.11258,-36.49892
55.11823,-35.02377
55.12792,-35.87806
55.14108,-35.02261
55.15463,-34.97778
55.15708,-36.12111
55.17546,-37.51083
55.17692,-35.66114
55.18482,-37.40854
55.2075,-35.02361
55.21008,-35.74822
55.23028,-37.838
55.25321,-35.74197
55.26504,-33.77931
55.26583,-34.95417
55.27958,-35.69028
55.28012,-35.51447
55.30329,-35.15828
55.32547,-35.47707
55.33958,-35.94889
55.33971,-33.76922
55.38232,-35.58966
55.38583,-34.88833
55.3869,-35.19369
55.3995,-35.91606
55.4222,-35.17035
55.4275,-33.48444
55.43943,-33.79187
55.48921,-35.29206
55.49768,-35.34894
55.51807,-35.86821
55.52321,-35.76603
55.52625,-34.84944
55.52825,-35.56967
55.54546,-35.44236
55.56918,-34.53221
55.57207,-35.54084
55.58,-35.56056
55.58093,-35.39256
55.58096,-35.39264
55.58096,-35.39264
55.59471,-35.154
55.60984,-36.6867
55.61154,-41.14486
55.61294,-33.87101
55.65375,-35.95583
55.66083,-35.86778
55.68883,-33.9205
55.75914,-36.27337
55.79792,-35.3565
55.80333,-34.64306
55.84429,-33.94031
55.84667,-34.69528
55.9045,-35.85303
55.97633,-33.03985
56.10458,-35.85667
56.11305,-35.66432
56.13725,-35.19578
56.16375,-35.9825
56.18504,-35.68347
56.24421,-36.89473
56.24975,-36.31931
56.26483,-35.97261
56.30059,-35.57091
56.30871,-36.93675
56.37875,-34.505
56.39066,-37.08323
56.43916,-36.34653
56.44958,-35.06056
56.47854,-36.35697
56.53417,-36.8225
56.55725,-36.69633
56.57921,-34.94356
56.63938,-34.68586
56.64746,-40.64828
56.65708,-37.15944
56.75633,-36.43747
56.77004,-33.70986
56.78404,-36.32675
56.78769,-32.7739
56.80637,-38.96847
56.81758,-32.30293
56.89143,-35.95275
56.89217,-38.57653
56.90634,-36.36301
56.91325,-36.37203
56.96946,-36.47169
57.00875,-35.02667
57.01792,-36.74611
57.04167,-37.52556
